# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:  -3.54 Bz:  -3.54 N:   8.00 Tilt:   0.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
 -5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5500E+01  1.2000E+01  1.0170E+00 -9.0744E-02
 -6.6000E+01  1.2000E+01  1.0170E+00 -2.7231E-01
 -6.6500E+01  1.2000E+01  1.0170E+00 -4.6200E-01
 -6.7000E+01  1.2000E+01  1.0170E+00 -6.6470E-01
 -6.7500E+01  1.2000E+01  1.0170E+00 -8.8751E-01
 -6.8000E+01  1.2000E+01  1.0170E+00 -1.1398E+00
 -6.8500E+01  1.2000E+01  1.0170E+00 -1.4338E+00
 -6.9000E+01  1.2000E+01  1.0170E+00 -1.7843E+00
 -6.9500E+01  1.2000E+01  1.0170E+00 -2.2078E+00
 -7.0000E+01  1.2000E+01  1.0170E+00 -2.7227E+00
 -7.0500E+01  1.2000E+01  1.0170E+00 -3.3469E+00
 -7.1000E+01  1.2000E+01  1.0170E+00 -4.0982E+00
 -7.1500E+01  1.2000E+01  1.0170E+00 -4.9909E+00
 -7.2000E+01  1.2000E+01  1.0170E+00 -6.0368E+00
 -7.2500E+01  1.2000E+01  1.0170E+00 -7.2420E+00
 -7.3000E+01  1.2000E+01  1.0170E+00 -8.6069E+00
 -7.3500E+01  1.2000E+01  1.0170E+00 -1.0126E+01
 -7.4000E+01  1.2000E+01  1.0170E+00 -1.1786E+01
 -7.4500E+01  1.2000E+01  1.0170E+00 -1.3569E+01
 -7.5000E+01  1.2000E+01  1.0170E+00 -1.5447E+01
 -7.5500E+01  1.2000E+01  1.0170E+00 -1.7394E+01
 -7.6000E+01  1.2000E+01  1.0170E+00 -1.9372E+01
 -7.6500E+01  1.2000E+01  1.0170E+00 -2.1349E+01
 -7.7000E+01  1.2000E+01  1.0170E+00 -2.3284E+01
 -7.7500E+01  1.2000E+01  1.0170E+00 -2.5146E+01
 -7.8000E+01  1.2000E+01  1.0170E+00 -2.6898E+01
 -7.8500E+01  1.2000E+01  1.0170E+00 -2.8514E+01
 -7.9000E+01  1.2000E+01  1.0170E+00 -2.9968E+01
 -7.9500E+01  1.2000E+01  1.0170E+00 -3.1244E+01
 -8.0000E+01  1.2000E+01  1.0170E+00 -3.2329E+01
 -8.0500E+01  1.2000E+01  1.0170E+00 -3.3218E+01
 -8.1000E+01  1.2000E+01  1.0170E+00 -3.3910E+01
 -8.1500E+01  1.2000E+01  1.0170E+00 -3.4413E+01
 -8.2000E+01  1.2000E+01  1.0170E+00 -3.4736E+01
 -8.2500E+01  1.2000E+01  1.0170E+00 -3.4894E+01
 -8.3000E+01  1.2000E+01  1.0170E+00 -3.4903E+01
 -8.3500E+01  1.2000E+01  1.0170E+00 -3.4783E+01
 -8.4000E+01  1.2000E+01  1.0170E+00 -3.4552E+01
 -8.4500E+01  1.2000E+01  1.0170E+00 -3.4231E+01
 -8.5000E+01  1.2000E+01  1.0170E+00 -3.3837E+01
 -8.5500E+01  1.2000E+01  1.0170E+00 -3.3388E+01
 -8.6000E+01  1.2000E+01  1.0170E+00 -3.2898E+01
 -8.6500E+01  1.2000E+01  1.0170E+00 -3.2383E+01
 -8.7000E+01  1.2000E+01  1.0170E+00 -3.1851E+01
 -8.7500E+01  1.2000E+01  1.0170E+00 -3.1312E+01
 -8.8000E+01  1.2000E+01  1.0170E+00 -3.0771E+01
 -8.8500E+01  1.2000E+01  1.0170E+00 -3.0233E+01
 -8.9000E+01  1.2000E+01  1.0170E+00 -2.9697E+01
 -8.9500E+01  1.2000E+01  1.0170E+00 -2.9162E+01
 -9.0000E+01  1.2000E+01  1.0170E+00 -2.8626E+01
  9.0000E+01  1.2133E+01  1.0170E+00  1.6986E+00
  8.9500E+01  1.2133E+01  1.0170E+00  1.9182E+00
  8.9000E+01  1.2133E+01  1.0170E+00  2.1687E+00
  8.8500E+01  1.2133E+01  1.0170E+00  2.4498E+00
  8.8000E+01  1.2133E+01  1.0170E+00  2.7625E+00
  8.7500E+01  1.2133E+01  1.0170E+00  3.1086E+00
  8.7000E+01  1.2133E+01  1.0170E+00  3.4897E+00
  8.6500E+01  1.2133E+01  1.0170E+00  3.9060E+00
  8.6000E+01  1.2133E+01  1.0170E+00  4.3547E+00
  8.5500E+01  1.2133E+01  1.0170E+00  4.8293E+00
  8.5000E+01  1.2133E+01  1.0170E+00  5.3180E+00
  8.4500E+01  1.2133E+01  1.0170E+00  5.8037E+00
  8.4000E+01  1.2133E+01  1.0170E+00  6.2637E+00
  8.3500E+01  1.2133E+01  1.0170E+00  6.6700E+00
